IDquery;Q1
0.9524102;D270135;ok
0.95869553;D459218;ok
0.9611435;D266658;ok
Number of distance computations:570683
IDquery;Q6
0.73675746;D190105;ok
0.7369459;D661387;ok
0.7468157;D553043;ok
0.7513946;D52190;ok
0.7536509;D33110;ok
0.75502115;D643823;ok
0.76830226;D940379;ok
0.7784683;D927435;ok
0.7940718;D440590;ok
0.7967042;D175287;ok
0.7968641;D161090;ok
0.7969402;D19364;ok
0.8016551;D483155;ok
0.8031323;D778317;ok
0.8043874;D728648;ok
0.80490357;D609740;ok
0.8149862;D959624;ok
0.8183192;D910992;ok
0.81880283;D157199;ok
0.8201722;D200926;ok
0.82496065;D39140;ok
0.8277695;D280718;ok
0.8279776;D183076;ok
0.82971394;D139990;ok
0.83284783;D917964;ok
0.8335135;D313497;ok
0.8367282;D6737;ok
0.8421885;D41444;ok
0.8422703;D970855;ok
0.84253985;D875077;ok
Number of distance computations:545546
IDquery;Q7
0.6702689;D533189;ok
0.67881715;D954306;ok
0.69378555;D69812;ok
0.69911796;D478857;ok
0.73473006;D37737;ok
0.7425619;D443222;ok
0.7537246;D789665;ok
0.7798179;D958588;ok
0.7865684;D248381;ok
0.788866;D630172;ok
0.795766;D798191;ok
0.7991508;D209862;ok
0.799234;D601852;ok
0.80253613;D139746;ok
0.80800676;D188015;ok
0.8082525;D172235;ok
0.8141197;D30083;ok
0.81672347;D689655;ok
0.819054;D462363;ok
0.82049423;D441207;ok
0.8217372;D597220;ok
0.8241646;D697312;ok
0.8243442;D182309;ok
0.82620025;D765404;ok
0.8268749;D500335;ok
0.82824135;D826223;ok
0.8302817;D24571;ok
0.8319592;D608875;ok
0.83722323;D523485;ok
0.8389469;D468235;ok
Number of distance computations:550709
IDquery;Q8
0.6929056;D552597;ok
0.77899086;D645148;ok
0.79098856;D343139;ok
0.7995383;D700406;ok
0.8000616;D711492;ok
0.8030235;D139553;ok
0.8048104;D481769;ok
0.8084709;D990380;ok
0.80867666;D818220;ok
0.81029624;D632811;ok
0.8270624;D280984;ok
0.84233004;D354619;ok
0.84259796;D141586;ok
0.8435812;D884446;ok
0.8474352;D491170;ok
0.8497203;D741071;ok
0.85024667;D153561;ok
0.85082024;D101169;ok
0.85136837;D558665;ok
0.8545862;D967533;ok
0.8561996;D91687;ok
0.8602602;D737974;ok
0.8633088;D763752;ok
0.8669963;D526239;ok
0.86887616;D853061;ok
0.8688886;D570634;ok
0.87079215;D624213;ok
0.87325364;D505633;ok
0.8737787;D862887;ok
0.87496775;D361881;ok
Number of distance computations:632016
IDquery;Q9
0.6756518;D161813;ok
0.6973796;D326196;ok
0.7031585;D816235;ok
0.73069745;D721394;ok
0.7308498;D692246;ok
0.7430929;D364723;ok
0.75045013;D430577;ok
0.75505036;D126554;ok
0.7566041;D433185;ok
0.7605221;D73868;ok
0.76478124;D199070;ok
0.77231526;D349156;ok
0.778149;D604567;ok
0.78134537;D338835;ok
0.78278667;D726791;ok
0.786495;D676801;ok
0.7869763;D503328;ok
0.78753936;D196121;ok
0.7910835;D85802;ok
0.79671264;D57262;ok
0.7968668;D319773;ok
0.797936;D618546;ok
0.80460536;D442513;ok
0.8049137;D486975;ok
0.8052315;D895793;ok
0.8057649;D863033;ok
0.80765456;D936007;ok
0.80853903;D556435;ok
0.80854326;D613817;ok
0.81297946;D724949;ok
Number of distance computations:533628
IDquery;Q0
0.7143124;D252561;ok
0.73287535;D57622;ok
0.75173044;D232661;ok
0.77225286;D173393;ok
0.7820521;D75809;ok
0.7822295;D835511;ok
0.78800875;D597945;ok
0.7962402;D22654;ok
0.80053204;D210163;ok
0.8049162;D421748;ok
0.8061176;D666286;ok
0.80754733;D623897;ok
0.80845463;D343138;ok
0.8123916;D231604;ok
0.8287302;D119466;ok
0.8299718;D374516;ok
0.83367264;D574090;ok
0.8377599;D822885;ok
0.84059304;D838892;ok
0.8477599;D82305;ok
0.84993404;D713656;ok
0.8554853;D238318;ok
0.85665315;D739254;ok
0.864728;D740899;ok
0.86951596;D539819;ok
0.87177515;D923865;ok
0.8732183;D250410;ok
0.874132;D274843;ok
0.87442696;D237635;ok
0.88039696;D777479;ok
Number of distance computations:443759
