IDquery;Q116
0.8898101;D86418
0.8927373;D72375
0.8951405;D31956
0.8960158;D61825
0.8977641;D94993
0.89894545;D53717
0.90080243;D50609
0.9047528;D55534
0.9053746;D49794
0.9096159;D74368
0.911959;D2803
0.9147062;D94939
0.9191777;D83376
Number of distance computations:68753
IDquery;Q353
0.8105063;D27329
0.87180126;D40658
0.87665385;D35142
0.8821485;D26893
0.88409686;D93469
0.8958793;D36838
0.92510736;D8294
0.9271973;D44109
0.9397253;D39445
0.9454736;D89144
0.9472643;D49519
0.94904673;D94111
0.9572686;D30799
0.9573297;D21277
0.95924586;D83748
0.96020323;D99729
0.96112674;D21459
0.9655006;D92309
0.98013747;D45342
0.98612916;D48976
0.9889791;D13920
0.9997903;D54188
1.0004824;D74853
1.0030732;D61965
1.004518;D81099
1.0102053;D12076
1.0114088;D80833
1.0117592;D85503
1.0141232;D97294
1.0203345;D30925
Number of distance computations:92164
IDquery;Q595
0.8882947;D19840
0.896729;D46545
0.94201964;D89848
0.95202154;D38337
0.9685098;D29960
0.96938324;D95566
0.97260594;D18561
0.97890425;D3381
0.980749;D88047
0.98402053;D9496
0.9842111;D27687
0.9902146;D1417
0.9953238;D33331
1.0033339;D56722
1.013488;D41200
1.0144264;D68301
1.015096;D5732
1.0180945;D71001
1.0189902;D16056
1.0205878;D22694
1.0209081;D34164
1.0210111;D78430
1.0224675;D75727
1.0236473;D46605
1.0246813;D95033
1.0261868;D83509
1.0294027;D3641
1.0347509;D38908
1.041408;D73082
1.0416638;D87395
Number of distance computations:89691
IDquery;Q114
0.81360483;D49378
0.8201611;D87453
0.8416078;D7272
0.856366;D8434
0.88130355;D85342
0.88560516;D44984
0.8926092;D79797
0.8970663;D34161
0.90764236;D91602
0.9082525;D93682
0.9178142;D58774
0.92594665;D43718
0.93108493;D22200
0.9364737;D45608
0.936563;D83145
0.94431055;D63959
0.94897854;D42550
0.95253515;D32012
0.9525757;D91677
0.96303755;D42653
0.96371484;D45669
0.96700704;D99888
0.9674204;D36588
0.9677252;D2117
0.97194576;D14730
0.9724459;D93635
0.9765773;D24277
0.9832415;D43363
0.98408043;D84409
0.9874247;D41215
Number of distance computations:89767
IDquery;Q356
0.8514293;D42749
0.8725005;D12478
0.8937968;D98101
0.91640586;D88584
0.9213891;D8675
0.92268884;D8786
0.9291085;D68373
0.93773574;D73352
0.9463363;D17019
0.95441645;D76545
0.95542777;D27382
0.9599727;D84668
0.96524984;D68916
0.9680301;D90410
0.9717506;D41536
0.9764959;D61980
0.976772;D38626
0.9770051;D46687
0.9849702;D65534
0.9889928;D60722
0.9916145;D60691
0.9933916;D83300
0.9990461;D17005
1.0035862;D73967
1.0044662;D41842
1.004562;D42544
1.0060892;D41126
1.007429;D77505
1.008286;D77191
1.009636;D48918
Number of distance computations:83816
IDquery;Q598
0.8303405;D5753
0.8422934;D23220
0.8465224;D19111
0.8469847;D14677
0.8572305;D23164
0.86074054;D84795
0.87840647;D4179
0.8821066;D70227
0.90515727;D86999
0.91716105;D70081
0.9239499;D16765
0.9352921;D92766
0.93954045;D34089
0.94242924;D41056
0.94377786;D2823
0.9438844;D97966
0.94403815;D2265
0.9443238;D8925
0.945405;D2411
0.9470594;D47997
0.9481284;D73237
0.95053536;D62142
0.9522848;D84311
0.95346856;D99431
0.96030456;D57323
0.9613246;D8119
0.962385;D75279
0.96314013;D59073
0.97508615;D63332
0.97534096;D84332
Number of distance computations:82766
IDquery;Q113
0.7860451;D30885
0.84730834;D20552
0.87620014;D23568
0.88530946;D70126
0.8857535;D92482
0.89074373;D17219
0.9025387;D97469
0.91397256;D86386
0.9181093;D72220
0.9211651;D70848
0.941076;D94874
0.9500545;D15609
0.95182496;D15810
0.96695036;D4794
0.96777564;D86919
0.96898854;D28678
0.9701134;D42378
0.9710251;D56725
0.97248036;D71965
0.9752232;D85388
0.9769309;D5889
0.977716;D68388
0.9787814;D63720
0.98139495;D40068
0.9892816;D98542
0.9893323;D37738
0.9944284;D58092
0.99827594;D310
1.0067779;D65094
1.0106959;D20825
Number of distance computations:87538
IDquery;Q355
0.79259676;D71997
0.79321903;D94660
0.8493653;D42755
0.86804223;D68172
0.8708621;D39885
0.9013153;D72599
0.9067546;D61613
0.92082816;D27352
0.9318249;D63060
0.9329666;D69642
0.935801;D17662
0.94242245;D10559
0.94820976;D54279
0.95014954;D20494
0.9565027;D60350
0.96328515;D49453
0.9649665;D36453
0.97299916;D71122
0.98440695;D24483
0.9857961;D29186
0.98831093;D37951
0.98888314;D86179
0.9898005;D47794
0.99304575;D83603
0.9935547;D9359
0.99752295;D24157
1.0008657;D7798
1.0021921;D10613
1.003541;D32132
1.0082151;D11956
Number of distance computations:88457
IDquery;Q597
0.8264659;D95909
0.8808192;D6009
0.8847093;D3699
0.9404795;D96703
0.9649666;D65474
0.97229075;D9066
0.98299795;D89018
0.98435897;D32369
0.98860264;D76022
0.9992401;D2050
1.0069426;D86320
1.0132272;D56360
1.0155305;D11631
1.0242041;D5541
1.0322155;D73208
1.0409825;D73339
1.0445795;D68618
1.0462883;D79372
1.0495104;D38957
1.0524224;D13209
1.0548489;D64305
1.0615941;D15717
1.0616571;D24837
1.0617398;D77300
1.064467;D8874
1.0685397;D42582
1.0744365;D20546
1.0761192;D91915
1.0766609;D62467
1.0781684;D91223
Number of distance computations:85693
IDquery;Q119
0.68831164;D73549
0.738414;D45384
0.8647117;D81157
0.87342227;D55161
0.8848931;D67722
0.89680743;D20241
0.89728945;D73516
0.90027964;D70731
0.9033113;D3665
0.9086152;D72630
0.91169375;D72844
0.92158455;D70009
0.9221726;D11402
0.9249398;D2
0.9346256;D30994
0.9460627;D50174
0.9474032;D1434
0.9504251;D69292
0.9592796;D13382
0.9606561;D21406
0.9634342;D5377
0.9669783;D47248
0.98017544;D74131
0.98201495;D90347
0.98279536;D77283
0.983206;D40747
0.98351127;D35486
0.98712933;D20856
0.9894737;D28909
0.98961776;D3353
Number of distance computations:83394
IDquery;Q361
0.96130174;D94464
0.97210217;D26819
0.9940582;D87723
0.99629784;D64177
1.0200329;D36783
1.0471835;D26068
1.0512799;D62548
1.0528733;D388
1.055054;D90166
1.057468;D22612
1.0587244;D88278
1.06831;D61515
1.0686039;D92331
1.0707299;D87960
1.072119;D57369
1.079327;D50025
1.0836253;D75718
1.0852908;D49269
1.0925623;D78775
1.0978544;D88034
1.0985671;D90529
1.1065791;D65123
1.1073136;D51663
1.1093836;D90882
1.1102667;D27777
1.115487;D28940
1.1185379;D73022
1.119621;D5093
1.121734;D24655
1.1252046;D84913
Number of distance computations:88591
IDquery;Q360
0.8434417;D69278
0.9237074;D56892
0.95618165;D88536
0.9692127;D22879
0.9756211;D41434
0.9866158;D33513
0.9905164;D51614
0.9905555;D30680
1.000515;D11209
1.0053619;D50449
1.0093678;D45982
1.0200863;D69928
1.0256671;D67416
1.0296818;D9637
1.030924;D1444
1.03094;D18528
1.0317726;D56851
1.0327435;D58711
1.0328063;D82883
1.0370711;D81080
1.0397362;D48860
1.0410852;D4848
1.0419604;D17475
1.0423627;D68598
1.046129;D32154
1.0478102;D93010
1.0491632;D70976
1.0508983;D87540
1.0517392;D50524
1.0539651;D62124
Number of distance computations:86782
IDquery;Q121
0.9475463;D84021
0.9508948;D5610
0.95453537;D14817
0.96799976;D63
0.968373;D19651
0.96969783;D14583
0.9786753;D92589
0.9828114;D30714
0.98991543;D61926
0.99452174;D45182
0.9973482;D89158
1.0017185;D60368
1.0187798;D5230
1.0297651;D71663
1.0345836;D26804
1.0403341;D98619
1.0430888;D77612
1.0463006;D39814
1.0544155;D44364
1.059933;D3729
1.0646828;D94918
1.0673958;D27466
1.068933;D94376
1.0740424;D26311
1.0853271;D87402
1.0854074;D77082
1.0869774;D67758
1.0893828;D58964
1.0911969;D22760
1.0953387;D61410
Number of distance computations:83778
IDquery;Q363
0.74728465;D67865
0.77573764;D35642
0.778953;D28060
0.7808258;D87183
0.78525114;D47165
0.8185915;D98202
0.820432;D1105
0.83169824;D73540
0.8599417;D95721
0.86169595;D12952
0.8686894;D80513
0.87403655;D32771
0.876891;D37163
0.87860096;D48299
0.8786121;D77104
0.8886729;D3922
0.88980395;D56651
0.8905461;D76686
0.89620304;D36693
0.8988781;D70245
0.90439665;D96382
0.9067823;D7720
0.9136546;D25980
0.9138226;D6044
0.91447043;D88685
0.9164643;D92203
0.9179712;D45926
0.92250556;D35219
0.92297214;D26494
0.9264944;D76589
Number of distance computations:83771
IDquery;Q120
0.69388646;D45079
0.81477016;D11143
0.83011913;D90388
0.8461892;D11407
0.85865605;D19440
0.8646743;D99139
0.8677983;D52747
0.86957175;D65210
0.87626535;D23306
0.89879245;D18315
0.90323174;D2590
0.9041314;D55559
0.9117614;D28026
0.92658216;D16301
0.93849665;D16427
0.9412986;D6373
0.94185466;D72016
0.9437748;D6138
0.9462551;D14763
0.9491076;D12843
0.9491971;D96161
0.95345235;D24129
0.9588959;D37181
0.96121126;D5843
0.9620113;D78983
0.9682476;D60561
0.9711891;D97918
0.9712268;D63840
0.97707075;D94439
0.97935164;D31933
Number of distance computations:86905
IDquery;Q362
0.85608244;D46648
0.86401975;D65869
0.8910075;D82184
0.9547001;D9104
0.97318566;D29904
0.9782679;D41882
0.98111075;D86257
0.98453796;D83719
0.9860751;D46210
0.9870394;D81080
0.9937896;D16844
1.000701;D63838
1.0011295;D8241
1.0034094;D41164
1.0071138;D71622
1.0119635;D25776
1.0138638;D45163
1.0206804;D15576
1.0215915;D73108
1.0238898;D67683
1.026484;D20094
1.0275729;D76303
1.0314584;D87702
1.0322402;D36900
1.042795;D90365
1.0452616;D86112
1.0455989;D13253
1.0456676;D99659
1.0463078;D88522
1.0473071;D68575
Number of distance computations:91928
IDquery;Q105
0.7938677;D62010
0.8673263;D34058
0.88800967;D45112
0.8906568;D81400
0.893615;D85692
0.89587224;D84891
0.9121615;D92142
0.9136109;D3968
0.92156255;D58237
0.94296;D62897
0.9512362;D57111
0.9601719;D51022
0.96663827;D56119
0.98087996;D82171
0.98215103;D20711
0.9845284;D34917
0.9892027;D39724
0.9960808;D88523
0.9970717;D51991
0.9972544;D68408
0.9978752;D90162
1.0041158;D5121
1.0117759;D64467
1.0136788;D56532
1.0184171;D32247
1.0184338;D71605
1.0212338;D45210
1.0265976;D77459
1.0272977;D60656
1.0274136;D63356
Number of distance computations:92063
IDquery;Q347
0.7346219;D15378
0.800876;D38390
0.84221596;D96109
0.85449624;D12099
0.8621751;D43536
0.8680225;D34480
0.8693708;D25867
0.87893176;D92197
0.8899572;D64754
0.8901989;D28018
0.89190364;D73619
0.90783584;D34053
0.91444165;D22677
0.91651666;D22426
0.9175969;D52394
0.92472726;D62629
0.93481594;D34364
0.9383584;D4100
0.93843883;D81766
0.9450982;D70145
0.9527918;D40047
0.95559806;D99760
0.9557965;D95472
0.9559603;D80845
0.9581661;D33891
0.9610838;D28484
0.96576357;D49914
0.96591485;D199
0.96868324;D61637
0.9712873;D46949
Number of distance computations:88530
IDquery;Q589
0.7927966;D34357
0.88216305;D25340
0.89026475;D46577
0.93774664;D69505
0.94520456;D59794
0.9466821;D98705
0.9831093;D33832
0.9871243;D5933
0.99526405;D49289
0.99549174;D75766
1.0010622;D48693
1.0115125;D79467
1.0135905;D91189
1.016735;D27238
1.020165;D70725
1.0240041;D63062
1.0240422;D7403
1.0266997;D68849
1.0270766;D56831
1.0271157;D4085
1.0387899;D91223
1.0534898;D79594
1.0588177;D41171
1.0620267;D57352
1.0670407;D20772
1.0682037;D96703
1.0727667;D2370
1.0768844;D87809
1.0769495;D65605
1.0833436;D71461
Number of distance computations:88446
IDquery;Q104
0.7531472;D55143
0.78683466;D59922
0.82548046;D33699
0.8475391;D7244
0.8631833;D50263
0.8969231;D76243
0.9127444;D41630
0.91426754;D94592
0.922308;D8764
0.92311156;D83192
0.9256485;D45297
0.9292462;D28813
0.92937005;D74375
0.93096966;D64844
0.93191296;D35313
0.93304825;D31033
0.93618083;D1173
0.9442375;D46696
0.94512135;D70598
0.9466749;D58989
0.9489916;D87354
0.9493803;D76660
0.9499286;D1975
0.95507354;D56108
0.963106;D5563
0.9668084;D53586
0.9668247;D15550
0.9688385;D87435
0.97185934;D56404
0.97222793;D33361
Number of distance computations:69484
IDquery;Q346
0.8368189;D49158
0.894611;D9268
0.9043416;D11152
0.9398859;D63797
0.9418814;D33331
0.9428663;D93173
0.9457136;D88117
0.94713235;D5999
0.94887817;D73288
0.94930196;D66100
0.951299;D79976
0.95206964;D98553
0.9530623;D96871
0.95415765;D27732
0.95637286;D58464
0.9581772;D96140
0.9590685;D83986
0.96097475;D20523
0.96738344;D9036
0.97010964;D50034
0.9738939;D50656
0.9860639;D7720
0.98737276;D46641
0.9905221;D51936
0.99261206;D95672
0.99815845;D62285
0.99926025;D6044
1.002902;D20473
1.0034436;D81273
1.0056679;D64799
Number of distance computations:91810
IDquery;Q588
0.87064666;D39351
0.8741843;D30215
0.87518287;D30362
0.88445395;D15999
0.8845648;D79303
0.88710445;D9957
0.8939732;D88075
0.8972961;D50113
0.9073687;D15009
0.90972364;D88296
0.91149396;D40602
0.9191218;D31514
0.9205813;D56357
0.9210985;D44131
0.9211283;D52805
0.94172096;D60689
0.9462704;D30987
0.9487246;D82118
0.94964206;D72862
0.9511727;D69851
0.9512419;D73426
0.95815605;D43183
0.958497;D20351
0.9598573;D6212
0.9601679;D74494
0.96031815;D17528
0.96063054;D26405
0.96244365;D51615
0.9644294;D35210
0.9651473;D22380
Number of distance computations:81686
IDquery;Q107
0.77765936;D64828
0.78269434;D58869
0.8097661;D72999
0.82418865;D58527
0.834175;D94426
0.852841;D52159
0.86131024;D75567
0.87119687;D52082
0.873915;D69176
0.8739405;D22017
0.8782875;D35815
0.88103086;D11804
0.883185;D25261
0.8885928;D93865
0.88901114;D26552
0.89139074;D75565
0.897863;D52577
0.9003356;D15687
0.9009892;D80524
0.903379;D14247
0.9159828;D87376
0.91979194;D94405
0.9207841;D693
0.92362195;D93917
0.9253795;D70448
0.92569244;D57393
0.92609817;D11698
0.92854804;D12031
0.929889;D99494
0.9341054;D70454
Number of distance computations:83569
IDquery;Q349
0.76541144;D39930
0.82390153;D72012
0.90676516;D24907
0.92140573;D18090
0.9245466;D72748
0.93597704;D87910
0.9511948;D40349
0.9520623;D89010
0.95481306;D91675
0.956205;D31023
0.9644214;D97705
0.96730644;D92014
0.9767611;D78008
0.98162997;D21268
0.9819977;D35272
0.98219335;D62901
0.9897437;D35258
0.9938029;D57354
0.9957691;D74124
0.99712986;D57799
1.0024168;D87840
1.0040119;D33529
1.004376;D41863
1.0075092;D98616
1.0134515;D51481
1.0143344;D87822
1.0162075;D47874
1.0181144;D78356
1.0238684;D46025
1.031961;D62353
Number of distance computations:95050
IDquery;Q106
0.7489549;D66935
0.7563183;D32794
0.7801517;D45617
0.81228566;D69974
0.82355297;D15350
0.8335038;D3188
0.8432019;D11996
0.85161495;D94478
0.8662926;D13527
0.8678695;D40413
0.8687585;D22728
0.87247366;D37230
0.87323815;D54355
0.8794915;D57132
0.8831365;D90866
0.8845817;D11508
0.8865121;D87682
0.88920194;D19705
0.88994956;D10542
0.89187163;D25298
0.8925408;D32960
0.89327973;D81283
0.89498943;D76224
0.89555883;D47155
0.8975232;D92309
0.9019152;D44024
0.9087261;D43779
0.90933675;D92555
0.91076297;D59122
0.9127089;D33629
Number of distance computations:66593
IDquery;Q348
0.8560524;D9910
0.906546;D22156
0.9197776;D40214
0.9263949;D63622
0.9554001;D97741
0.95825046;D74742
0.9648984;D87070
0.96550584;D41116
0.9725836;D85154
0.98300385;D53828
0.9998609;D56146
1.005486;D91161
1.0074637;D61878
1.0099425;D76376
1.0108786;D81558
1.0144585;D16919
1.0172256;D48409
1.017449;D38803
1.02142;D53934
1.030843;D27733
1.0357733;D9435
1.0380621;D69414
1.0401825;D23647
1.0421917;D80335
1.0454072;D27572
1.0474308;D54453
1.0477566;D54299
1.0478355;D37503
1.0511451;D54605
1.0574939;D44537
Number of distance computations:84713
IDquery;Q101
0.7095496;D18097
0.7250112;D29077
0.76336396;D53840
0.7690545;D60408
0.77229774;D51240
0.78338337;D18074
0.8040525;D93638
0.8049651;D37478
0.80725557;D39591
0.8114833;D45515
0.8171805;D64953
0.82431585;D69502
0.8253113;D44645
0.82706326;D76524
0.8279146;D66193
0.8409133;D89374
0.8412224;D49365
0.84469575;D68146
0.8457952;D46083
0.84584725;D50097
0.8470055;D80333
0.8482126;D96424
0.84927917;D8006
0.85350704;D16368
0.85612124;D62181
0.8561841;D55512
0.8567584;D99110
0.8583817;D66908
0.8586693;D80714
0.8613769;D62024
Number of distance computations:47918
IDquery;Q343
0.8364339;D983
0.85535204;D98202
0.8950748;D53148
0.92094475;D77138
0.9234697;D1629
0.94118357;D30480
0.9650727;D4782
0.96516675;D59669
0.97390014;D51878
0.9828489;D3410
0.99268496;D7277
1.0004588;D48869
1.0165786;D18869
1.0253991;D75915
1.0307791;D18351
1.039046;D72123
1.0432099;D92205
1.0438055;D56971
1.065541;D68124
1.0657749;D76843
1.0717317;D20971
1.0841275;D29504
1.0911429;D13829
1.0918287;D10483
1.0942756;D20963
1.0965351;D93993
1.096761;D47685
1.0968286;D62232
1.0968711;D66600
1.1020092;D42365
Number of distance computations:83207
IDquery;Q585
0.86143285;D25162
0.9172847;D36608
0.9234787;D20141
0.935119;D24510
0.93885034;D53976
0.9527069;D49877
0.9961295;D21157
1.0032308;D29539
1.0056244;D72210
1.0125968;D16565
1.0210836;D93219
1.0291779;D73753
1.0322396;D13926
1.0338957;D41175
1.0359696;D65196
1.0400398;D18298
1.0456753;D29440
1.0502132;D12190
1.0578197;D79497
1.0586483;D28676
1.0616537;D68112
1.064052;D81009
1.0665867;D16968
1.0675118;D97409
1.0681467;D84276
1.0740821;D8466
1.077556;D96598
1.0816768;D85580
1.0831152;D65633
1.0850306;D51033
Number of distance computations:89365
IDquery;Q100
0.7476501;D5372
0.7752587;D17372
0.79775006;D28253
0.8049895;D49333
0.8202819;D23456
0.84556806;D19586
0.8464005;D88920
0.8487413;D94223
0.8681951;D57804
0.86878747;D7661
0.8701504;D78121
0.8731474;D73550
0.89004475;D50368
0.897987;D91673
0.8985355;D25944
0.9047472;D67860
0.91197157;D26120
0.9195411;D65293
0.91958565;D63981
0.9207619;D46455
0.92166704;D43434
0.92445546;D19148
0.92842865;D23683
0.933652;D16962
0.93426913;D3833
0.9384162;D44522
0.9442332;D61674
0.9537754;D63222
0.9579691;D46134
0.9613142;D46418
Number of distance computations:86113
IDquery;Q342
0.8778936;D75027
0.9005497;D3626
0.91373545;D86780
0.91389585;D47825
0.9157768;D41623
0.9189443;D82895
0.9210906;D59520
0.921562;D98073
0.92407155;D88439
0.92920786;D26797
0.9358087;D64835
0.9416508;D973
0.9417032;D42698
0.94380885;D72271
0.9438776;D65784
0.94951624;D63346
0.95651656;D54925
0.9644975;D24368
0.96896553;D2114
0.9703168;D72506
0.9755754;D21840
0.9760088;D48267
0.9768031;D13876
0.9795194;D86041
0.9811032;D471
0.98253685;D78718
0.9839775;D93560
0.98502237;D98279
0.9880399;D80774
0.9882368;D61853
Number of distance computations:91121
IDquery;Q584
0.70149064;D25550
0.8262578;D38873
0.832719;D88594
0.84553105;D74676
0.84626275;D28038
0.8646247;D56119
0.8764468;D24482
0.8959217;D85496
0.8996633;D70807
0.90243435;D32249
0.90943754;D59806
0.9096034;D72836
0.9109348;D60869
0.92102915;D58782
0.92555743;D32750
0.93895024;D25582
0.93926287;D51771
0.94344556;D52306
0.94927555;D46562
0.95362735;D99958
0.9619981;D23714
0.96254206;D1681
0.96585256;D44203
0.9662346;D72145
0.9693522;D59490
0.9749551;D4631
0.97653055;D99194
0.9774778;D72241
0.97830355;D21340
0.9855341;D93699
Number of distance computations:86312
IDquery;Q103
0.7279388;D24092
0.73190105;D36181
0.7541747;D22604
0.81637734;D9172
0.84096617;D6995
0.84388644;D89744
0.8523594;D57407
0.8534157;D8073
0.8552417;D5995
0.8705172;D59991
0.8849101;D43259
0.88588274;D29974
0.88780725;D88207
0.9010944;D22367
0.9031136;D15639
0.9042694;D70216
0.90481615;D181
0.9054718;D64536
0.90920556;D11782
0.9146889;D99086
0.9313948;D96677
0.9333723;D39914
0.93386304;D18705
0.93499255;D43249
0.93504405;D93058
0.93550485;D87842
0.94105923;D62310
0.94194543;D13080
0.94723296;D76171
0.95023847;D8164
Number of distance computations:80631
IDquery;Q345
0.76994425;D23900
